傌	㐷 骂
滎	荥
犖	荦
熒	荧
蕁	荨
藎	荩
蓀	荪
廕	荫
蔭	荫
蕒	荬
葒	荭
葤	荮
葯	药
藥	药
涖	莅
蒞	莅
萊	莱
蓮	莲
蒔	莳
萵	莴
薟	莶
獲	获
穫	获
蕕	莸
瑩	莹
鶯	莺
鸎	莺
蒓	莼
蓴	莼
蔆	菱
蘀	萚
蘿	萝
螢	萤
營	营
縈	萦
蕭	萧
薩	萨
萲	萱
蕿	萱
藼	萱
蘐	萱
蕚	萼
塟	葬
𦵏	葬
蔥	葱
蒕	蒀
蔕	蒂
蕆	蒇
蕢	蒉
蔣	蒋
蔞	蒌
醟	蒏
懞	蒙
矇	蒙
簑	蓑
藍	蓝
薊	蓟
蘺	蓠
蕷	蓣
鎣	蓥
驀	蓦
虆	蔂
衊	蔑
薔	蔷
蘞	蔹
藺	蔺
藹	蔼
橤	蕊
蕋	蕊
蘂	蕊
薀	蕰
蘄	蕲
藴	蕴
蘊	蕴
薙	薙 剃
藪	薮
藷	薯 𫉄
藉	藉 借
蘚	藓
蔾	藜
籐	藤
櫱	蘖
虜	虏
虜	虏
慮	虑
虛	虚
蟲	虫
虯	虬
蟣	虮
蝨	虱
蝱	虻
雖	虽
蝦	虾
蠆	虿
蝕	蚀
蟻	蚁
螞	蚂
蠁	蚃
螡	蚊
蟁	蚊
蠶	蚕
蠔	蚝
蜆	蚬
虵	蛇
蠱	蛊
蠣	蛎
蟶	蛏
痐	蛔
蚘	蛔
蛕	蛔
蜖	蛔
鼃	蛙
蠻	蛮
蟄	蛰
蛺	蛱
蟯	蛲
螄	蛳
蠐	蛴
䗬	蜂
蠭	蜂
蛻	蜕
蝸	蜗
蠟	蜡
蠅	蝇
蟈	蝈
蟬	蝉
蠍	蝎
蜨	蝶
螻	蝼
蠑	蝾
螿	螀
蜋	螂
螎	融
蟎	螨
蟇	蟆
蠨	蟏
蠏	蟹
蝡	蠕
惷	蠢
䶊	衄
衂	衄
釁	衅
啣	衔
衘	衔
銜	衔
補	补
錶	表
襯	衬
袞	衮
衹	衹 只
袵	衽
襖	袄
嫋	袅
嬝	袅
裊	袅
褭	袅
褘	袆
襢	袒
襪	袜
韈	袜
韤	袜
襲	袭
襏	袯
裝	装
襠	裆
褌	裈
帬	裙
裠	裙
褳	裢
襝	裣
袴	裤
褲	裤
襇	裥
襉	裥
臝	裸
躶	裸
襃	褒
緥	褓
褸	褛
襤	褴
繦	襁
襴	襕
覆	覆 复
見	见
觀	观
覎	觃
槼	规 椝
規	规
覓	觅
覔	觅
眎	视
眡	视
視	视
覘	觇
覽	览
覺	觉
覬	觊
覡	觋
覿	觌
覥	觍
覦	觎
覯	觏
覲	觐
覷	觑
觴	觞
觸	触
觶	觯
誾	訚
讋	詟
譽	誉
謄	誊
訁	讠
計	计
訂	订
訃	讣
認	认
譏	讥
訐	讦
訌	讧
討	讨
讓	让
訕	讪
訖	讫
訓	训
議	议
訊	讯
記	记
訒	讱
講	讲
諱	讳
謳	讴
詎	讵
訝	讶
訥	讷
許	许
訛	讹
譌	讹
論	论
訩	讻
訟	讼
諷	讽
設	设
訪	访
訣	诀
証	证
證	证
詁	诂
訶	诃
評	评
詛	诅
識	识
詗	诇
詐	诈
愬	诉
訴	诉
診	诊
詆	诋
謅	诌
䛐	词
詞	词
詘	诎
詔	诏
詖	诐
譯	译
詒	诒
誆	诓
誄	诔
試	试
詿	诖
詩	诗
詰	诘
詼	诙
誠	诚
誅	诛
詵	诜
䛡	话
話	话
誕	诞
詬	诟
詮	诠
詭	诡
詢	询
詣	诣
諍	诤
該	该
詳	详
詫	诧
諢	诨
詡	诩
譸	诪
誡	诫
誣	诬
語	语
誚	诮
誤	误
誥	诰
誘	诱
誨	诲
誑	诳
說	说
説	说
誦	诵
誒	诶
請	请
諸	诸
諏	诹
諾	诺
讀	读
諑	诼
誹	诽
課	课
諉	诿
諛	谀
誰	谁
諗	谂
調	调
諂	谄
謟	谄
諒	谅
諄	谆
誶	谇
談	谈
讅	谉
誼	谊
謀	谋
諶	谌
諜	谍
謊	谎
諫	谏
諧	谐
謔	谑
謁	谒
謂	谓
諤	谔
諭	谕
諼	谖
讒	谗
諳	谙
諺	谚
諦	谛
謎	谜
諞	谝
諝	谞
謨	谟
謩	谟
讜	谠
謖	谡
謝	谢
謠	谣
謡	谣
謗	谤
諡	谥
謚	谥
謙	谦
謐	谧
謹	谨
謾	谩
謫	谪
讁	谪
謭	谫
謬	谬
譚	谭
譖	谮
譙	谯
讕	谰
譜	谱
譎	谲
讞	谳
譴	谴
譫	谵
讖	谶
穀	谷
荳	豆
豶	豮
貝	贝
貞	贞
負	负
貟	贠
貢	贡
財	财
責	责
賢	贤
敗	败
賬	账
貨	货
質	质
販	贩
貪	贪
貧	贫
貶	贬
購	购
貯	贮
貫	贯
貳	贰
賤	贱
賁	贲
貰	贳
貼	贴
貴	贵
貺	贶
貸	贷
貿	贸
費	费
賀	贺
貽	贻
賊	贼
贄	贽
賈	贾
賄	贿
貲	赀 资
賃	赁
賂	赂
贓	赃
贜	赃
資	资
賅	赅
贐	赆
賕	赇
賑	赈
賚	赉
賒	赊
賦	赋
賭	赌
賫	赍
賷	赍
齎	赍
贖	赎
賞	赏
賜	赐
贔	赑
賙	赒
賡	赓
賠	赔
賧	赕
賴	赖
頼	赖
賵	赗
贅	赘
賻	赙
賺	赚
賽	赛
賾	赜
贋	赝
贗	赝
讚	赞
賛	赞
贊	赞
贇	赟
贈	赠
贍	赡
贏	赢
灨	赣
贑	赣 𫎬
贛	赣
赬	赪
趙	赵
趕	赶
趂	趁
趨	趋
趲	趱
躉	趸
躍	跃
蹌	跄
蹠	跖
躒	跞
踐	践
躂	跶
蹺	跷
蹻	跷 𫏋
蹕	跸
躚	跹
跥	跺
躋	跻
踴	踊
躊	踌
跴	踩
蹤	踪
躓	踬
躑	踯
蹏	蹄
躡	蹑
蹣	蹒
䠀	蹚
躕	蹰
蹵	蹴
躥	蹿
躪	躏
躦	躜
躳	躬
軀	躯
車	车
軋	轧
軌	轨
軒	轩
軑	轪
軔	轫
軔	轫
轉	转
軛	轭
輪	轮
軟	软
輭	软
轟	轰
軲	轱
軻	轲
轤	轳
軸	轴
軹	轵
軼	轶
軤	轷
軫	轸
轢	轹
軺	轺
輕	轻
軾	轼
載	载
輊	轾
轎	轿
輈	辀
輇	辁
輅	辂
較	较
輒	辄
輙	辄
輔	辅
輛	辆
輦	辇
輩	辈
煇	辉 𪸩
輝	辉
輥	辊
輞	辋
輬	辌
輟	辍
輜	辎
輳	辏
輻	辐
輯	辑
輼	辒
轀	辒
輸	输
轡	辔
轅	辕
轄	辖
輾	辗
轆	辘
轍	辙
轔	辚
辤	辞
辭	辞
闢	辟
辢	辣
辯	辩
辮	辫
邊	边
遼	辽
達	达
遷	迁
過	过
邁	迈
運	运
還	还
這	这
進	进
遠	远
違	违
連	连
遲	迟
逈	迥
邇	迩
廹	迫
逕	迳 径
跡	迹
蹟	迹
適	适
選	选
遜	逊
遞	递
邐	逦
邏	逻
偪	逼
踰	逾
遯	遁
徧	遍
遺	遗
遙	遥
鄧	邓
鄺	邝
衺	邪
鄔	邬
郵	邮
鄒	邹
鄴	邺
鄰	邻
隣	邻
欝	郁
鬰	郁
鬱	郁
郟	郏
鄶	郐
鄭	郑
鄆	郓
酈	郦
鄖	郧
鄲	郸
酇	酂
醖	酝
醞	酝
醱	酦
詶	酬
酧	酬
醻	酬
醬	酱
痠	酸
釅	酽
釃	酾
釀	酿
醕	醇
埰	采
寀	采
採	采
釋	释
裏	里
裡	里
埜	野
𡐨	野
鍳	鉴
鑑	鉴
鑒	鉴
鑾	銮
鏨	錾
釒	钅
釓	钆
釔	钇
針	针
鍼	针
釘	钉
釗	钊
釙	钋
釕	钌
釷	钍
釺	钎
釧	钏
釤	钐
鈒	钑
釩	钒
釣	钓
鍆	钔
釹	钕
鍚	钖
釵	钗
鈃	钘
鈣	钙
鈈	钚
鈦	钛
鈍	钝
鈔	钞
鈡	钟
鍾	钟 锺
鐘	钟
鈉	钠
鋇	钡
鋼	钢
鈑	钣
鈐	钤
鈅	钥
鑰	钥
欽	钦
鈞	钧
鎢	钨
鈎	钩
鉤	钩
鈧	钪
鈁	钫
鍅	钫
鈥	钬
鈄	钭
鈕	钮
鈀	钯
鈺	钰
錢	钱
鉦	钲
鉗	钳
鈷	钴
盋	钵
缽	钵
鉢	钵
鈳	钶
鉕	钷
鈽	钸
鈸	钹
鉞	钺
鉆	钻
鑚	钻
鑽	钻
鉬	钼
鉭	钽
鉀	钾
鈿	钿
鈾	铀
鐵	铁
鉑	铂
鈴	铃
鑠	铄
鈆	铅 𫓪
鉛	铅
鉚	铆
鈰	铈
鉉	铉
鉈	铊
鉍	铋
鈮	铌
鈹	铍
鐸	铎
鉶	铏
銬	铐
銠	铑
鉺	铒
鋩	铓
錏	铔
銪	铕
鋮	铖
鋏	铗
鋣	铘
鐃	铙
銍	铚
鐺	铛
銅	铜
鋁	铝
銱	铞
銦	铟
鎧	铠
鍘	铡
銖	铢
銑	铣
鋌	铤
銩	铥
銛	铦
鏵	铧
銓	铨
鎩	铩
鉿	铪
銚	铫
鉻	铬
銘	铭
錚	铮
銫	铯
鉸	铰
銥	铱
剷	铲
鏟	铲
銃	铳
鐋	铴
銨	铵
銀	银
銣	铷
鑄	铸
鐒	铹
舖	铺
鋪	铺
鋙	铻
錸	铼
鋱	铽
鏈	链
鏗	铿
銷	销
鎖	锁
鎻	锁
鋰	锂
鋥	锃
耡	锄
鉏	锄
鋤	锄
鍋	锅
鋯	锆
鋨	锇
銹	锈
鏽	锈
剉	锉
銼	锉
鋝	锊
鋒	锋
鋅	锌
鋶	锍
鐦	锎
鐧	锏
銳	锐
鋭	锐
銻	锑
鋃	锒
鋟	锓
鋦	锔
錒	锕
錆	锖
鍺	锗
鍩	锘
錯	错
錨	锚
錛	锛
錡	锜
鍀	锝
錁	锞
錕	锟
錩	锠
錫	锡
錮	锢
鑼	锣
錘	锤
鎚	锤
錐	锥
錦	锦
鑕	锧
鍁	锨
錈	锩
鍃	锪
鉳	锫
錇	锫
錟	锬
錠	锭
鍵	键
鋸	锯
錳	锰
錙	锱
鍥	锲
鍈	锳
鍇	锴
鏘	锵
鍶	锶
鍔	锷
鍤	锸
鍫	锹
鍬	锹
鍛	锻
鎪	锼
鍠	锽
鍰	锾
鎄	锿
鍍	镀
鎂	镁
鏤	镂
鎡	镃
鐨	镄
鎇	镅
鏌	镆
鎭	镇
鎮	镇
鎛	镈
鎘	镉
鑷	镊
鎲	镋
钂	镋
鎸	镌
鐫	镌
鎳	镍
錼	镎
鎿	镎
鎦	镏
鎬	镐
鎊	镑
鎰	镒
鎵	镓
鑌	镔
鎔	镕
鏢	镖
鏜	镗
鏝	镘
鏍	镙
鏰	镚
鏞	镛
鏡	镜
鏑	镝
鏃	镞
鏐	镠
鐔	镡
鐝	镢
钁	镢 䦆
鐐	镣
鏷	镤
鑥	镥
鐓	镦
鑭	镧
鐠	镨
鑹	镩
鏹	镪
鐙	镫
鑊	镬
鐳	镭
鐶	镮
鐲	镯
䥥	镰
鎌	镰
鐮	镰
鐿	镱
鑔	镲
鑣	镳 镖
鑞	镴
鑱	镵
鑲	镶
長	长
門	门
閂	闩
閃	闪
閆	闫
閈	闬
閉	闭
問	问
闖	闯
閏	闰
闈	闱
閑	闲
閒	闲
閎	闳
間	间
閔	闵
閌	闶
悶	闷
牐	闸
閘	闸
閙	闹
鬧	闹
閨	闺
聞	闻
闥	闼
閩	闽
閭	闾
闓	闿
閥	阀
閣	阁
閡	阂
閫	阃
鬮	阄
閱	阅
閲	阅
閬	阆
闍	阇
閾	阈
閹	阉
閶	阊
鬩	阋
閿	阌
閽	阍
閻	阎
閼	阏
闡	阐
闌	阑
闃	阒
闠	阓
濶	阔
闊	阔
闋	阕
闔	阖
闐	阗
闒	阘
闕	阙
闞	阚
闤	阛
隊	队
阪	阪 坂
穽	阱
陽	阳
陰	阴
隂	阴
陣	阵
堦	阶
階	阶
坿	附
際	际
陸	陆
隴	陇
陳	陈
陘	陉
陝	陕
隯	陦
隉	陧
隕	陨
險	险
隨	随
隱	隐
隷	隶
隸	隶
𨽻	隶
雋	隽
難	难
鴈	雁
僱	雇
雝	雍
雛	雏
彫	雕
琱	雕
鵰	雕
靂	雳
霧	雾
霽	霁
黴	霉
蜺	霓
霢	霡
靄	霭
覇	霸
靚	靓
靝	靔
靜	静
麪	面
麫	面
麵	面
靨	靥
鞾	靴 𫖇
鞵	鞋
鞌	鞍
韃	鞑
鞽	鞒
韉	鞯
韋	韦
靭	韧
靱	韧
韌	韧
韍	韨
韓	韩
韙	韪
韞	韫
韜	韬
韮	韭
韻	韵
頁	页
頂	顶
頃	顷
頇	顸
項	项
順	顺
須	须
鬚	须
頊	顼
頑	顽
顧	顾
頓	顿
頎	颀
頒	颁
頌	颂
頏	颃
預	预
顱	颅
領	领
頗	颇
頸	颈
頡	颉
頰	颊
頲	颋
頜	颌
潁	颍
熲	颎
頦	颏
頤	颐
頻	频
頮	颒
穨	颓
頹	颓
頽	颓
頷	颔
穎	颖
頴	颖 颕
顆	颗
題	题
顒	颙
顎	颚
顓	颛
顏	颜
顔	颜
頟	额
額	额
顳	颞
顢	颟
顛	颠
顙	颡
顥	颢
纇	颣
顫	颤
顬	颥
顰	颦
顴	颧
風	风
颭	飐
颮	飑
䬃	飒
颯	飒
颶	飓
𩗗	飓
颸	飔
颼	飕
颻	飖
飀	飗
飃	飘
飄	飘
飆	飙
飈	飚
飛	飞
飱	飧
饗	飨
饜	餍
飠	饣
飣	饤
飢	饥
饑	饥
飥	饦
餳	饧
飩	饨
餼	饩
飪	饪
餁	饪
飫	饫
飭	饬
飯	饭
㱃	饮
飲	饮
餞	饯
飾	饰
飽	饱
飤	饲
飼	饲
飿	饳
飴	饴
餌	饵
饒	饶
餉	饷
饟	饷 𫗵
餄	饸
餎	饹
餃	饺
餏	饻
餅	饼
餑	饽
餖	饾
餓	饿
餒	馁
餕	馂
餜	馃
餛	馄
餡	馅
舘	馆
館	馆
餷	馇
餽	馈
饋	馈
餶	馉
餿	馊
饞	馋
饁	馌
饃	馍
饝	馍
餺	馎
餾	馏
饈	馐
饉	馑
饅	馒
饊	馓
籑	馔
饌	馔
饢	馕
馬	马
馭	驭
䭾	驮
馱	驮
馴	驯
馳	驰
敺	驱
駈	驱
驅	驱
馹	驲
駁	驳
駮	驳
驢	驴
駔	驵
駛	驶
駟	驷
駙	驸
駒	驹
騶	驺
駐	驻
駝	驼
駞	驼 𫘞
駑	驽
駕	驾
驛	驿
駘	骀
驍	骁
罵	骂
駡	骂
駰	骃
驕	骄
驊	骅
駱	骆
駭	骇
駢	骈
驫	骉
驪	骊
騁	骋
騐	验
驗	验
騂	骍
駸	骎
駿	骏
騏	骐
騎	骑
騍	骒
騅	骓
驌	骕
驂	骖
騙	骗
騭	骘
騤	骙
騷	骚
騖	骛
驁	骜
騮	骝
騫	骞
騸	骟
驃	骠
騾	骡
驘	骡
驄	骢
驏	骣
驟	骤
驥	骥
驦	骦
驤	骧
髏	髅
髖	髋
髕	髌
髥	髯
騌	鬃 骔
騣	鬃
鬉	鬃
鬢	鬓
鬹	鬶
䰟	魂
魘	魇
魎	魉
魚	鱼
魛	鱽
魢	鱾
魷	鱿
魨	鲀
魯	鲁
魴	鲂
䰾	鲃
魺	鲄
鮁	鲅
鮃	鲆
鮎	鲇
鱸	鲈
鮋	鲉
鮓	鲊
鮒	鲋
鮊	鲌
鮑	鲍
鱟	鲎
鮍	鲏
鮐	鲐
鮭	鲑
鮚	鲒
鮳	鲓
鮪	鲔
鮞	鲕
鮦	鲖
鰂	鲗
鮜	鲘
鱠	鲙
鱭	鲚
鮫	鲛
尟	鲜
尠	鲜
鮮	鲜
鱻	鲜
鮺	鲝
鮝	鲞
鯗	鲞
鱘	鲟
骾	鲠
鯁	鲠
鱺	鲡
鰱	鲢
鰹	鲣
鯉	鲤
鰣	鲥
鰷	鲦
鯀	鲧
鯊	鲨
鯇	鲩
鮶	鲪
鯽	鲫
鯒	鲬
鯖	鲭
鯪	鲮
鯕	鲯
鯫	鲰
鯡	鲱
鯤	鲲
鯧	鲳
鯝	鲴
鯢	鲵
鯰	鲶
鯛	鲷
鯨	鲸
鰺	鲹
鯴	鲺
鯔	鲻
鱝	鲼
鰈	鲽
鰏	鲾
鱨	鲿
鯷	鳀
鰛	鳁
鰮	鳁
鰃	鳂
鰓	鳃
鰐	鳄
鱷	鳄
鰍	鳅
鰒	鳆
鰉	鳇
鰁	鳈
鱂	鳉
鯿	鳊
鰠	鳋
鰲	鳌
鼇	鳌
鰭	鳍
鰨	鳎
鰥	鳏
鰩	鳐
鰟	鳑
鰜	鳒
鰳	鳓
鰾	鳔
鱈	鳕
鱉	鳖
鼈	鳖
鰻	鳗
鰵	鳘
鱅	鳙
䲁	鳚
鰼	鳛
鱖	鳜
鱓	鳝
鱔	鳝
鱗	鳞
鱒	鳟
鱯	鳠
鱤	鳡
鱧	鳢
鱣	鳣
䲘	鳤
鳥	鸟
鳩	鸠
雞	鸡
鷄	鸡
鳶	鸢
鳴	鸣
鳲	鸤
鷗	鸥
鴉	鸦
鵶	鸦
鶬	鸧
鴇	鸨
酖	鸩
鴆	鸩
鴣	鸪
鶇	鸫
鸕	鸬
鴨	鸭
鴞	鸮
鴦	鸯
鴒	鸰
鴟	鸱
鴝	鸲
鴛	鸳
鷽	鸴
鴕	鸵
鷥	鸶
鷙	鸷
鴯	鸸
鴰	鸹
鵂	鸺
鴴	鸻
鵃	鸼
鴿	鸽
鸞	鸾
鴻	鸿
鵐	鹀
鵓	鹁
鸝	鹂
鵑	鹃
鵠	鹄
䳘	鹅
鵝	鹅
鵞	鹅
鵒	鹆
鷳	鹇
鷴	鹇
鵜	鹈
鵡	鹉
鵲	鹊
鶓	鹋
鵪	鹌
鵾	鹍
鵯	鹎
鵬	鹏
鵮	鹐
鶉	鹑
鶊	鹒
鵷	鹓
鷫	鹔
鶘	鹕
鶡	鹖
鶚	鹗
鶻	鹘
鶖	鹙
鶿	鹚
鷀	鹚
鶥	鹛
鶩	鹜
鷊	鹝
鷂	鹞
鶲	鹟
鶹	鹠
鶺	鹡
鷁	鹢
鶼	鹣
鶴	鹤
鷖	鹥
鸚	鹦
鷓	鹧
鷚	鹨
鷯	鹩
鷦	鹪
鷲	鹫
鷸	鹬
鷺	鹭
䴉	鹮
鸇	鹯
鷹	鹰
鸌	鹱
鸏	鹲
鸛	鹳
鸘	鹴
鹺	鹾
麐	麟
麥	麦
䴸	麸
粰	麸
麩	麸
痲	麻 痳
蔴	麻
黃	黄
黌	黉
黶	黡
黷	黩
黲	黪
黽	黾
黿	鼋
鼂	鼌
鼉	鼍
皷	鼓
鼴	鼹
齊	齐
齏	齑
齒	齿
齔	龀
齕	龁
齗	龂
齟	龃
齡	龄
齙	龅
齠	龆
齜	龇
齦	龈
齬	龉
齪	龊
齲	龋
齷	龌
龍	龙
龔	龚
龕	龛
龜	龟
䃮	鿎
䥑	鿏
鿓	鿒
鎶	鿔
𠁞	𠀾
儣	𠆲
𠌥	𠆿
俓	𠇹
㒓	𠉂
𠏢	𠉗
儭	𠋆
𠠎	𠚳
剾	𠛅
𠞆	𠛆
𪟖	𠛾
嗰	𠮶
哯	𠯟
噅	𠯠
㘉	𠰱
嚧	𠰷
囃	𠱞
𡅏	𠲥
𡃕	𠴛
𡄔	𠴢
𡄣	𠵸
㗲	𠵾
𡓾	𡋀
𡑭	𡋗
壗	𡋤
𡔖	𡍣
壈	𡒄
㜷	𡝠
㜗	𡞋
㜢	𡞱
孎	𡠟
孻	𡥧
𡮉	𡭜
𡮣	𡭬
𡳳	𡳃
𦘧	𡳒
嵼	𡶴
𡽗	𡸃
嶈	𡺃
嶘	𡺄
㢝	𢋈
㦛	𢗓
𢤱	𢘙
𢣚	𢘝
𢣭	𢘞
愻	𢙏
憹	𢙐
𢠼	𢙑
憢	𢙒
懀	𢙓
㦎	𢛯
懎	𢠁
𤢻	𢢐
𢷮	𢫊
𢶫	𢫞
摋	𢫬
擫	𢬍
𢹿	𢬦
斅	𢽾
斸	𣃁
曥	𣆐
𣋋	𣈣
𦢈	𣍨
腪	𣍯
脥	𣍰
臗	𣎑
槫	𣏢
桱	𣐕
欍	𣐤
𣠲	𣑶
楇	𣒌
橯	𣓿
樤	𣔌
樠	𣗊
欓	𣗋
㰙	𣗙
㯤	𣘐
𣞻	𣘓
檭	𣘴
𣝕	𣘷
欘	𣚚
𣠩	𣞎
殢	𣨼
𣯴	𣭤
𣯩	𣯣
氭	𣱝
湋	𣲗
潕	𣲘
㵗	𣳆
澅	𣶩
𣿉	𣶫
𪷓	𣶭
𤅶	𣷷
濆	𣸣
灙	𣺼
𤁣	𣺽
瀃	𣽷
熓	𤆡
㷍	𤆢
爄	𤇃
熌	𤇄
爖	𤇭
熚	𤇹
熉	𤈶
㷿	𤈷
𤒎	𤊀
𤓩	𤊰
熡	𤋏
㸇	𤎺
𤓎	𤎺
𤑳	𤎻
𤛮	𤙯
𤢟	𤝢
獩	𤞃
玁	𤞤
㺏	𤠋
瓕	𤦀
瓛	𤩽
𤳸	𤳄
癐	𤶊
𤸫	𤶧
㿗	𤻊
㿧	𤽯
皟	𤾀
麬	𤿲
䀉	𥁢
𥌃	𥅘
䀹	𥅴
𥊝	𥅿
瞤	𥆧
䁪	𥇢
䂎	𥎝
礒	𥐟
𥖅	𥐯
𥕥	𥐰
碙	𥐻
𥞵	𥞦
𥨐	𥧂
𥪂	𥩺
籅	𥫣
䉙	𥬀
籋	𥬞
篘	𥬠
𥵊	𥭉
𥸠	𥮋
䉲	𥮜
篸	𥮾
𥵃	𥱔
𥼽	𥹥
䊭	𥺅
𥽖	𥺇
𥿊	𦈈
緷	𦈉
綇	𦈋
綀	𦈌
繟	𦈎
緍	𦈏
縺	𦈐
緸	𦈑
𦂅	𦈒
䋿	𦈓
縎	𦈔
緰	𦈕
䌈	𦈖
𦃄	𦈗
䌋	𦈘
䌰	𦈙
縬	𦈚
繓	𦈛
䌖	𦈜
繏	𦈝
䌟	𦈞
䌝	𦈟
䌥	𦈠
繻	𦈡
䍽	𦍠
朥	𦛨
膢	𦝼
𦣎	𦟗
𦪽	𦨩
蓧	𦰏
䕳	𦰴
爇	𦶟
𦾟	𦶻
蘟	𦻕
𧕟	𧉐
䗿	𧉞
𧎈	𧌥
蠙	𧏖
蠀	𧏗
蠾	𧑏
𧔥	𧒭
䙱	𧜭
襰	𧝝
𧟀	𧝧
詀	𧮪
𧳟	𧳕
䞈	𧹑
𧶔	𧹓
䝻	𧹕
賟	𧹖
贃	𧹗
𨇁	𧿈
躘	𨀁
𨄣	𨀱
𨅍	𨁴
𨈊	𨂺
𨈌	𨄄
䠱	𨅛
𨇞	𨅫
躝	𨅬
軉	𨉗
軗	𨐅
𨊻	𨐆
𨏠	𨐇
輄	𨐈
𨎮	𨐉
𨏥	𨐊
䢨	𨑹
𨣞	𨟳
𨣧	𨠨
𨢿	𨡙
𨣈	𨡺
𨤻	𨤰
鎷	𨰾
釳	𨰿
𨥛	𨱀
鈠	𨱁
鈋	𨱂
鈲	𨱃
鈯	𨱄
鉁	𨱅
龯	𨱆
銶	𨱇
鋉	𨱈
鍄	𨱉
𨧱	𨱊
錂	𨱋
鏆	𨱌
鎯	𨱍
鍮	𨱎
鎝	𨱏
𨫒	𨱐
鐄	𨱑
鏉	𨱒
鐎	𨱓
鐏	𨱔
𨮂	𨱕
䥩	𨱖
䦳	𨷿
𨳕	𨸀
𨳑	𨸁
閍	𨸂
閐	𨸃
䦘	𨸄
𨴗	𨸅
𨵩	𨸆
𨵸	𨸇
𨶀	𨸉
𨶏	𨸊
𨶲	𨸋
𨶮	𨸌
𨷲	𨸎
𨽏	𨸘
䧢	𨸟
䪏	𩏼
𩏪	𩏽
𩎢	𩏾
䪘	𩏿
䪗	𩐀
顂	𩓋
𩓣	𩖕
顃	𩖖
䫴	𩖗
颰	𩙥
𩗀	𩙦
䬞	𩙧
𩘹	𩙨
𩘀	𩙩
颷	𩙪
颾	𩙫
𩘺	𩙬
𩘝	𩙭
䬘	𩙮
䬝	𩙯
𩙈	𩙰
𩚛	𩟿
𩚥	𩠀
𩚵	𩠁
𩛆	𩠂
𩛩	𩠃
𩟐	𩠅
𩜦	𩠆
䭀	𩠇
䭃	𩠈
𩜇	𩠉
𩜵	𩠊
𩝔	𩠋
餸	𩠌
𩞄	𩠎
𩞦	𩠏
𩠴	𩠠
𩡣	𩡖
𩡺	𩧦
駎	𩧨
𩤊	𩧩
䮾	𩧪
駚	𩧫
𩢡	𩧬
䭿	𩧭
𩢾	𩧮
驋	𩧯
䮝	𩧰
𩥉	𩧱
駧	𩧲
𩢸	𩧳
駩	𩧴
𩢴	𩧵
𩣏	𩧶
𩣫	𩧸
駶	𩧺
𩣵	𩧻
𩣺	𩧼
䮠	𩧿
騔	𩨀
䮞	𩨁
騝	𩨃
騪	𩨄
𩤸	𩨅
𩤙	𩨆
䮫	𩨇
騟	𩨈
𩤲	𩨉
騚	𩨊
𩥄	𩨋
𩥑	𩨌
𩥇	𩨍
龭	𩨎
䮳	𩨏
𩧆	𩨐
䯤	𩩈
𩭙	𩬣
𩰀	𩬤
鬖	𩭹
𩯳	𩯒
𩰹	𩰰
𩳤	𩲒
𩴵	𩴌
魥	𩽹
𩵩	𩽺
𩵹	𩽻
鯶	𩽼
𩶱	𩽽
鮟	𩽾
𩶰	𩽿
鯄	𩾁
䲖	𩾂
鮸	𩾃
𩷰	𩾄
𩸃	𩾅
𩸦	𩾆
鯱	𩾇
䱙	𩾈
䱬	𩾊
䱰	𩾋
鱇	𩾌
𩽇	𩾎
䲰	𪉂
鳼	𪉃
𩿪	𪉄
𪀦	𪉅
鴲	𪉆
鴜	𪉈
𪁈	𪉉
鷨	𪉊
𪀾	𪉋
𪁖	𪉌
鵚	𪉍
𪂆	𪉎
𪃏	𪉏
𪃍	𪉐
鷔	𪉑
𪄕	𪉒
𪄆	𪉔
𪇳	𪉕
䴬	𪎈
麲	𪎉
麨	𪎊
䴴	𪎋
麳	𪎌
䵳	𪑅
𪔵	𪔭
𪘀	𪚏
𪘯	𪚐
𠿕	𪜎
凙	𪞝
㔋	𪟎
𧷎	𪠀
㓄	𪠟
𠬙	𪠡
唓	𪠳
㖮	𪠵
嚛	𪠸
𠽃	𪠺
嘺	𪡀
嘪	𪡃
噞	𪡋
嗹	𪡏
㗿	𪡛
嘳	𪡞
𡃄	𪡺
㘓	𪢌
𡃤	𪢐
𡂡	𪢒
嚽	𪢕
𡅯	𪢖
囒	𪢠
圞	𪢮
墲	𪢸
埬	𪣆
堚	𪣒
塿	𪣻
𡓁	𪤄
壣	𪤚
𧹈	𪥠
孇	𪥫
嬣	𪥰
嬻	𪥿
孾	𪧀
寠	𪧘
㞞	𪨊
屩	𪨗
𡸗	𪨩
輋	𪨶
𡹬	𪨹
㟺	𪩇
巊	𪩎
巘	𪩘
𡿖	𪩛
幝	𪩷
幩	𪩸
㢗	𪪑
廧	𪪞
𢍰	𪪴
彃	𪪼
徿	𪫌
𢤩	𪫡
㦞	𪫷
憸	𪫺
𢣐	𪬚
𢤿	𪬯
𢯷	𪭝
摐	𪭢
擟	𪭧
𢶒	𪭯
掚	𪭵
撊	𪭾
㨻	𪮃
㩋	𪮋
撧	𪮖
𢺳	𪮳
攋	𪮶
㪎	𪯋
曊	𪰶
膹	𪱥
梖	𪱷
櫅	𪲎
欐	𪲔
檵	𪲛
櫠	𪲮
欇	𪳍
𣜬	𪳗
欑	𪴙
毊	𪵑
霼	𪵣
濿	𪵱
溡	𪶄
𤄷	𪶒
