傌	㐷 骂
吶	呐
嘸	呒
囈	呓
嘔	呕
嚦	呖
唄	呗
員	员
咼	呙
嗆	呛
嗚	呜
週	周
嘑	呼
虖	呼
謼	呼
𠇮	命
咊	和
龢	和
詠	咏
呪	咒
嚨	咙
嚀	咛
噝	咝
吒	咤 吒
諮	咨 谘
哶	咩
𠴟	咩
齩	咬 𫜪
倃	咱
偺	咱
喒	咱
𠴰	咱
欬	咳
鹹	咸
嚥	咽
吚	咿
閧	哄
鬨	哄
響	响
啞	哑
噠	哒
嘵	哓
嗶	哔
噦	哕
嘩	哗
譁	哗
噲	哙
嚌	哜
噥	哝
喲	哟
喆	哲
脣	唇
嘜	唛
嗊	唝
嘮	唠
啢	唡
嗩	唢
唕	唣
喚	唤
啗	啖
噉	啖
嘖	啧
嗇	啬
囀	啭
嚙	啮
囓	啮
齧	啮
嘓	啯
囉	啰
嘽	啴
嘯	啸
嗁	啼
餧	喂 𫗪
餵	喂
啑	喋
瘖	喑
諠	喧
噴	喷
嘍	喽
嚳	喾
嘷	嗥
獋	嗥
囁	嗫
噯	嗳
𠻳	嗽
嘠	嘎
噓	嘘
嚶	嘤
囑	嘱
譆	嘻 𫍻
嚕	噜
譟	噪
囂	嚣
廻	回
迴	回
逥	回
囙	因
團	团
糰	团
園	园
睏	困
囪	囱
圍	围
圇	囵
國	国
圖	图
圓	圆
聖	圣
壙	圹
場	场
塲	场
阯	址
岅	坂
埳	坎
壞	坏
阬	坑
塊	块
堅	坚
墰	坛
壇	坛
壜	坛
罈	坛
罎	坛
壢	坜
垻	坝
壩	坝
塢	坞
隖	坞
墳	坟
墜	坠
堃	坤
㘭	坳
壟	垄
壠	垅
壚	垆
壘	垒
垜	垛
墾	垦
堊	垩
墊	垫
埡	垭
墶	垯
壋	垱
塏	垲
堖	垴
塒	埘
塤	埙
壎	埙
堝	埚
碕	埼
塹	堑
墮	堕
陻	堙
隄	堤
壪	塆
堘	塍
墖	塔
墻	墙
牆	墙
墪	墩
壯	壮
聲	声
殻	壳
殼	壳
壺	壶
壼	壸
處	处
俻	备
備	备
復	复
複	复
亱	夜
夠	够
殀	夭
頭	头
誇	夸
夾	夹
袷	夹
裌	夹
奪	夺
匲	奁
匳	奁
奩	奁
籨	奁
奐	奂
奮	奋
犇	奔
逩	奔
奔	奔
奬	奖
獎	奖
奧	奥
嬭	奶
姦	奸
妝	妆
粧	妆
婦	妇
媍	妇
媽	妈
姙	妊
妬	妒
玅	妙
嫵	妩
嫗	妪
媯	妫
嬀	妫
姉	姊
姍	姗
薑	姜
奼	姹
婣	姻
婁	娄
婭	娅
嬈	娆
嬌	娇
孌	娈
孃	娘
娛	娱
媧	娲
嫺	娴
嫻	娴
娿	婀
惏	婪
嫿	婳
嬰	婴
嬋	婵
嬸	婶
壻	婿
媼	媪
嬃	媭
嬡	嫒
嬪	嫔
嫰	嫩
嬙	嫱
嬤	嬷
孫	孙
學	学
孿	孪
孼	孽
寕	宁
寧	宁
甯	宁
牠	它
寳	宝
寶	宝
寔	实
實	实
寵	宠
審	审
憲	宪
宮	宫
醼	宴
傢	家
寬	宽
賓	宾
㝛	宿
𡨥	寇
𭁵	寇
庽	寓
寑	寝
寢	寝
詧	察
砦	寨
對	对
尋	寻
𡬶	寻
導	导
壽	寿
